"Civil Service Cricket Club, Stormont, Belfast-Ireland",177
"Lord's, London-England",233
"Kennington Oval, London-England",246
"Riverside Ground, Chester-le-Street-England",214
"Grange Cricket Club, Raeburn Place, Edinburgh-Scotland",206
"Old Trafford, Manchester-England",206
"Headingley, Leeds-England",283
"VRA Ground, Amstelveen-Netherlands",225
Harare Sports Club-Zimbabwe,214
"Cambusdoon New Ground, Ayr-Scotland",163
"Toronto Cricket, Skating and Curling Club-Canada",189
"Gymkhana Club Ground, Nairobi-Kenya",193
"Sinhalese Sports Club Ground, Colombo-Sri Lanka",167
"Sophia Gardens, Cardiff-England",192
"The Rose Bowl, Southampton-England",250
"Trent Bridge, Nottingham-England",246
"Edgbaston, Birmingham-England",203
"Kinrara Academy Oval, Kuala Lumpur-Malaysia",204
"Mangaung Oval, Bloemfontein-South Africa",262
"Buffalo Park, East London-South Africa",171
"Senwes Park, Potchefstroom-South Africa",246
"Punjab Cricket Association Stadium, Mohali, Chandigarh-India",256
"Sardar Patel Stadium, Motera, Ahmedabad-India",224
"Sawai Mansingh Stadium, Jaipur-India",235
"Brabourne Stadium, Mumbai-India",150
Mombasa Sports Club Ground-Kenya,224
"Kingsmead, Durban-South Africa",243
"Newlands, Cape Town-South Africa",243
"St George's Park, Port Elizabeth-South Africa",215
"Sheikh Abu Naser Stadium, Khulna-Bangladesh",199
"Willowmoore Park, Benoni-South Africa",219
"Shaheed Chandu Stadium, Bogra-Bangladesh",212
"SuperSport Park, Centurion-South Africa",231
"Iqbal Stadium, Faisalabad-Pakistan",197
"Shere Bangla National Stadium, Mirpur, Dhaka-Bangladesh",214
"Gaddafi Stadium, Lahore-Pakistan",248
Multan Cricket Stadium-Pakistan,226
"Zahur Ahmed Chowdhury Stadium, Chittagong-Bangladesh",183
"National Stadium, Karachi-Pakistan",250
"McLean Park, Napier-New Zealand",259
Queenstown Events Centre-New Zealand,120
"AMI Stadium, Christchurch-New Zealand",228
"Eden Park, Auckland-New Zealand",219
"Seddon Park, Hamilton-New Zealand",235
Melbourne Cricket Ground-Australia,240
"Bellerive Oval, Hobart-Australia",245
"Brisbane Cricket Ground, Woolloongabba, Brisbane-Australia",218
Sydney Cricket Ground-Australia,220
"Vidarbha C.A. Ground, Nagpur-India",319
Adelaide Oval-Australia,230
"Barabati Stadium, Cuttack-India",259
"MA Chidambaram Stadium, Chepauk, Chennai-India",225
"Western Australia Cricket Association Ground, Perth-Australia",227
"Jaffery Sports Club Ground, Nairobi-Kenya",219
"Ruaraka Sports Club Ground, Nairobi-Kenya",244
"Reliance Stadium, Vadodara-India",231
"Eden Gardens, Kolkata-India",242
"Madhavrao Scindia Cricket Ground, Rajkot-India",325
"Nehru Stadium, Fatorda, Margao-India",231
"New Wanderers Stadium, Johannesburg-South Africa",238
"Westpac Stadium, Wellington-New Zealand",208
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam-India",256
"Antigua Recreation Ground, St John's, Antigua-West Indies",227
"Sabina Park, Kingston, Jamaica-West Indies",221
"Warner Park, Basseterre, St Kitts-West Indies",247
"Beausejour Stadium, Gros Islet, St Lucia-West Indies",208
"Queen's Park Oval, Port of Spain, Trinidad-West Indies",199
"Sir Vivian Richards Stadium, North Sound, Antigua-West Indies",225
"Providence Stadium, Guyana-West Indies",211
"National Cricket Stadium, St George's, Grenada-West Indies",216
"Kensington Oval, Bridgetown, Barbados-West Indies",187
"Sheikh Zayed Stadium, Abu Dhabi-U.A.E.",231
"M Chinnaswamy Stadium, Bengaluru-India",268
"Castle Avenue, Dublin-Ireland",174
"P Sara Oval, Colombo-Sri Lanka",199
"R Premadasa Stadium, Khettarama, Colombo-Sri Lanka",214
"Titwood, Glasgow-Scotland",203
"Hazelaarweg, Rotterdam-Netherlands",177
"Queens Sports Club, Bulawayo-Zimbabwe",220
"County Ground, Bristol-England",204
Rangiri Dambulla International Stadium-Sri Lanka,201
"Nehru Stadium, Kochi-India",239
"Rajiv Gandhi International Stadium, Uppal, Hyderabad-India",273
"Sector 16 Stadium, Chandigarh-India",287
"Wankhede Stadium, Mumbai-India",256
"Nehru Stadium, Guwahati-India",222
"Green Park, Kanpur-India",263
"Captain Roop Singh Stadium, Gwalior-India",291
"Niaz Stadium, Hyderabad-Pakistan",238
Sheikhupura Stadium-Pakistan,184
"Manuka Oval, Canberra-Australia",285
"Arnos Vale Ground, Kingstown, St Vincent-West Indies",180
"Maple Leaf North-West Ground, King City-Canada",165
"Mannofield Park, Aberdeen-Scotland",202
"TIO Stadium, Darwin-Australia",147
"Diamond Oval, Kimberley-South Africa",263
"Holkar Cricket Stadium, Indore-India",280
Dubai International Cricket Stadium-U.A.E.,221
"Windsor Park, Roseau, Dominica-West Indies",247
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur-India",280
